pub_id,user_id,authorship_role,authorship_subcat
1,4,,
2,5,,
3,4,,
4,6,,
5,6,,
21,4,,
22,4,,
23,4,,
24,4,,
25,4,,
26,4,,
27,4,,
28,4,,
29,4,,
30,4,,
31,4,,
32,4,,
33,4,,
34,4,,
35,4,,
36,4,,
37,4,,
38,4,,
39,4,,
40,4,,
41,4,,
42,7,,
43,7,,
44,7,,
45,7,,
46,7,,
47,7,,
48,7,,
49,7,,
50,5,,
51,5,,
52,5,,
53,5,,
54,5,,
55,5,,
56,5,,
57,5,,
58,5,,
59,5,,
60,8,,
61,8,,
62,9,,
63,9,,
64,9,,
65,9,,
66,9,,
67,9,,
68,9,,
69,9,,
70,9,,
71,9,,
72,9,,
73,10,,
74,11,,
75,11,,
76,11,,
77,11,,
78,11,,
79,11,,
80,11,,
81,11,,
82,12,,
83,12,,
84,12,,
85,12,,
86,12,,
87,12,,
88,12,,
89,12,,
90,12,,
91,12,,
92,12,,
93,12,,
94,12,,
95,12,,
96,13,,
97,13,,
98,13,,
99,6,,
100,6,,
101,6,,
102,6,,
103,6,,
104,6,,
105,6,,
106,6,,
107,6,,
108,6,,
109,6,,
110,6,,
111,6,,
112,6,,
