pub_id,user_id,pres_role 
6,5,
7,4,
8,4,
9,6,
10,6,
113,4,
114,4,
115,4,
116,14,
117,14,
118,14,
119,14,
120,14,
121,14,
122,14,
123,14,
124,14,
125,14,
126,7,
127,7,
128,7,
129,7,
130,5,
131,8,
132,8,
133,8,
134,8,
135,8,
136,9,
137,9,
138,9,
139,9,
140,9,
141,9,
142,9,
143,9,
144,9,
145,9,
146,9,
147,9,
148,9,
149,9,
150,9,
151,9,
152,10,
153,10,
154,10,
155,10,
156,10,
157,11,
158,11,
159,11,
160,11,
161,11,
162,11,
163,11,
164,11,
165,12,
166,12,
167,12,
168,12,
169,12,
170,12,
171,12,
172,12,
173,12,
174,12,
175,12,
176,12,
177,12,
178,12,
179,12,
180,12,
181,12,
182,13,
183,13,
184,13,
185,13,
186,13,
187,6,
188,6,
189,6,
190,6,
191,6,
192,6,
193,6,
194,6,
195,6,
196,6,
197,6,
